# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.global.get.library.by.name.ms,1747919603249000000,1747919620932000000,0
jps.global.initialize.library.bridges.ms,1747919603249000000,1747919620932000000,0
workspaceModel.global.updates.count,1747919603249000000,1747919620932000000,0
jps.global.get.library.ms,1747919603249000000,1747919620932000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1747919603249000000,1747919620932000000,0
jps.load.initial.state.ms,1747919603249000000,1747919620932000000,43
jps.global.handle.changed.events.ms,1747919603249000000,1747919620932000000,0
jps.global.handle.before.change.events.ms,1747919603249000000,1747919620932000000,0
jps.app.storage.content.reader.load.component.ms,1747919603249000000,1747919620932000000,3
workspaceModel.moduleManagerBridge.create.module.instance.ms,1747919603249000000,1747919620932000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1747919603249000000,1747919620932000000,0
jps.save.global.entities.ms,1747919603249000000,1747919620932000000,0
workspaceModel.mutableEntityStorage.instances.count,1747919603249000000,1747919620932000000,3
workspaceModel.global.updates.ms,1747919603249000000,1747919620932000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1747919603249000000,1747919620932000000,1
workspaceModel.moduleManagerBridge.load.all.modules.ms,1747919603249000000,1747919620932000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1747919603249000000,1747919620932000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1747919603249000000,1747919620932000000,0
workspaceModel.mutableEntityStorage.entities.ms,1747919603249000000,1747919620932000000,3
workspaceModel.do.save.caches.ms,1747919603249000000,1747919620932000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1747919603249000000,1747919620932000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1747919603249000000,1747919620932000000,0
jps.global.initialize.library.bridges.after.loading.ms,1747919603249000000,1747919620932000000,6
workspaceModel.global.apply.state.to.project.ms,1747919603249000000,1747919620932000000,0
workspaceModel.sync.entities.ms,1747919603249000000,1747919620932000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1747919603249000000,1747919620932000000,0
